2023-08-11 13:54:31,084 INFO  SLF4JLogger:71 - [] Monitor thread successfully connected to server with description ServerDescription{address=ac-onovp5a-shard-00-00.nta43ld.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=616298000, setName='atlas-pdw8xr-shard-0', canonicalAddress=ac-onovp5a-shard-00-00.nta43ld.mongodb.net:27017, hosts=[ac-onovp5a-shard-00-01.nta43ld.mongodb.net:27017, ac-onovp5a-shard-00-00.nta43ld.mongodb.net:27017, ac-onovp5a-shard-00-02.nta43ld.mongodb.net:27017], passives=[], arbiters=[], primary='ac-onovp5a-shard-00-01.nta43ld.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='US_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=11, topologyVersion=TopologyVersion{processId=64cbdeb6964d55626875bfc5, counter=4}, lastWriteDate=Fri Aug 11 13:54:31 IST 2023, lastUpdateTimeNanos=159155239829400}
2023-08-11 13:54:31,084 INFO  SLF4JLogger:71 - [] Monitor thread successfully connected to server with description ServerDescription{address=ac-onovp5a-shard-00-01.nta43ld.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=619651900, setName='atlas-pdw8xr-shard-0', canonicalAddress=ac-onovp5a-shard-00-01.nta43ld.mongodb.net:27017, hosts=[ac-onovp5a-shard-00-01.nta43ld.mongodb.net:27017, ac-onovp5a-shard-00-00.nta43ld.mongodb.net:27017, ac-onovp5a-shard-00-02.nta43ld.mongodb.net:27017], passives=[], arbiters=[], primary='ac-onovp5a-shard-00-01.nta43ld.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='US_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000000d3, setVersion=11, topologyVersion=TopologyVersion{processId=64cbe0acc3978b8dddfa18c4, counter=6}, lastWriteDate=Fri Aug 11 13:54:31 IST 2023, lastUpdateTimeNanos=159155239829300}
2023-08-11 13:54:31,089 INFO  SLF4JLogger:71 - [] Discovered replica set primary ac-onovp5a-shard-00-01.nta43ld.mongodb.net:27017 with max election id 7fffffff00000000000000d3 and max set version 11
2023-08-11 13:55:27,009 INFO  DirectJDKLog:173 - [] Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-08-11 13:55:27,010 INFO  FrameworkServlet:532 - [] Initializing Servlet 'dispatcherServlet'
2023-08-11 13:55:27,012 INFO  FrameworkServlet:554 - [] Completed initialization in 2 ms
2023-08-11 13:55:27,059 INFO  ManuController:46 - [] Menu items got successfully
2023-08-11 14:21:43,432 INFO  SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin:159 - [] Application shutdown requested.
2023-08-11 14:21:43,984 INFO  DirectJDKLog:173 - [] Stopping service [Tomcat]
2023-08-11 14:21:44,063 INFO  DirectJDKLog:173 - [] Destroying Spring FrameworkServlet 'dispatcherServlet'
